Words,Percent Increase
tweet,0.0015372790161414297
idiot,0.0015372790161414297
real,0.0015372790161414297
new,0.0015372790161414297
dead,0.0015372790161414297
saw,0.0015372790161414297
coward,0.0015372790161414297
terrorist,0.0015372790161414297
mom,0.0015372790161414297
quite,0.0015372790161414297
us,0.0015372790161414297
see,0.0015372790161414297
thing,0.0015372790161414297
shit,0.0015372790161414297
certain,0.0015372790161414297
support,0.0015372790161414297
want,0.0015372790161414297
apartheid,0.0015372790161414297
heroic,0.0015372790161414297
theres,0.0015372790161414297
uk,0.0015372790161414297
racist,0.0015372790161414297
interests,0.0015372790161414297
serving,0.0015372790161414297
w,0.0015372790161414297
point,0.0015372790161414297
upon,0.0015372790161414297
citizens,0.0015372790161414297
inhabitants,0.0015372790161414297
sees,0.0015372790161414297
indeed,0.0015372790161414297
yes,0.0015372790161414297
power,0.0015372790161414297
german,0.0015372790161414297
1942,0.0015372790161414297
quote,0.0015372790161414297
dont,0.0015372790161414297
charlottesville,0.0015372790161414297
stuff,0.0015372790161414297
come,0.0015372790161414297
emily,0.0015372790161414297
smart,0.0015372790161414297
early,0.0015372790161414297
antisemite,0.0015372790161414297
though,0.0015372790161414297
top,0.0015372790161414297
blocked,0.0015372790161414297
laughing,0.0015372790161414297
ever,0.0015372790161414297
forget,0.0015372790161414297
murdered,0.0015372790161414297
proud,0.0015372790161414297
wrong,0.0015372790161414297
talk,0.0015372790161414297
spirit,0.0015372790161414297
theyre,0.0015372790161414297
return,0.0015372790161414297
next,0.0015372790161414297
soon,0.0015372790161414297
function,0.0015372790161414297
fascism,0.0015372790161414297
i’ve,0.0015372790161414297
native,0.0015372790161414297
asked,0.0015372790161414297
make,0.0015372790161414297
israel’s,0.0015372790161414297
take,0.0015372790161414297
fake,0.0015372790161414297
could,0.0007686395080707148
copied,0.0007686395080707148
feed,0.0007686395080707148
stood,0.0007686395080707148
zionistangloamerican,0.0007686395080707148
empire,0.0007686395080707148
southern,0.0007686395080707148
african,0.0007686395080707148
party,0.0007686395080707148
development,0.0007686395080707148
community,0.0007686395080707148
sadc,0.0007686395080707148
leader,0.0007686395080707148
axis,0.0007686395080707148
resistance,0.0007686395080707148
role,0.0007686395080707148
myanc,0.0007686395080707148
speak,0.0007686395080707148
couldnt,0.0007686395080707148
moslems,0.0007686395080707148
deported,0.0007686395080707148
ignorance,0.0007686395080707148
pure,0.0007686395080707148
militarily,0.0007686395080707148
average,0.0007686395080707148
soldiers,0.0007686395080707148
yeah,0.0007686395080707148
bad,0.0007686395080707148
use,0.0007686395080707148
arguments,0.0007686395080707148
encourage,0.0007686395080707148
tories,0.0007686395080707148
controls,0.0007686395080707148
europe,0.0007686395080707148
1930s,0.0007686395080707148
oppose,0.0007686395080707148
relentless,0.0007686395080707148
opposition,0.0007686395080707148
denounce,0.0007686395080707148
israelis,0.0007686395080707148
says,0.0007686395080707148
stupid,0.0007686395080707148
fulfill,0.0007686395080707148
fing,0.0007686395080707148
ideological,0.0007686395080707148
say,0.0007686395080707148
work,0.0007686395080707148
outside,0.0007686395080707148
school,0.0007686395080707148
lol,0.0007686395080707148
🤷‍♂️,0.0007686395080707148
hollywood,0.0007686395080707148
tl,0.0007686395080707148
censor,0.0007686395080707148
moses,0.0007686395080707148
first,0.0007686395080707148
blacks,0.0007686395080707148
decree,0.0007686395080707148
con,0.0007686395080707148
blaming,0.0007686395080707148
ills,0.0007686395080707148
less,0.0007686395080707148
fortunate,0.0007686395080707148
immigrants,0.0007686395080707148
refugees,0.0007686395080707148
iddnt,0.0007686395080707148
celeb,0.0007686395080707148
xyz,0.0007686395080707148
similar,0.0007686395080707148
synagogue,0.0007686395080707148
satanrevelations,0.0007686395080707148
damn,0.0007686395080707148
prophecy,0.0007686395080707148
pass,0.0007686395080707148
rapidly,0.0007686395080707148
jew’s,0.0007686395080707148
ear,0.0007686395080707148
habit,0.0007686395080707148
😂,0.0007686395080707148
lots,0.0007686395080707148
elder,0.0007686395080707148
regard,0.0007686395080707148
‘slimey’,0.0007686395080707148
edible,0.0007686395080707148
cooked,0.0007686395080707148
tried,0.0007686395080707148
chinese,0.0007686395080707148
worse,0.0007686395080707148
set,0.0007686395080707148
aim,0.0007686395080707148
shot,0.0007686395080707148
sitting,0.0007686395080707148
time,0.0007686395080707148
patience,0.0007686395080707148
weapons,0.0007686395080707148
everywhere,0.0007686395080707148
‌honestly,0.0007686395080707148
harry,0.0007686395080707148
fans,0.0007686395080707148
congratulationsharry,0.0007686395080707148
proudofharry,0.0007686395080707148
verwoerdian,0.0007686395080707148
🤣,0.0007686395080707148
jimmy,0.0007686395080707148
english,0.0007686395080707148
afrikaans,0.0007686395080707148
speakers,0.0007686395080707148
tell,0.0007686395080707148
🤔,0.0007686395080707148
play,0.0007686395080707148
reason,0.0007686395080707148
soldier,0.0007686395080707148
ridiculous,0.0007686395080707148
teargas,0.0007686395080707148
mothers,0.0007686395080707148
million,0.0007686395080707148
politician,0.0007686395080707148
who’s,0.0007686395080707148
tan,0.0007686395080707148
don’t,0.0007686395080707148
dalia,0.0007686395080707148
23yearsold,0.0007686395080707148
jenin,0.0007686395080707148
dawn,0.0007686395080707148
prepare,0.0007686395080707148
baby’s,0.0007686395080707148
milk,0.0007686395080707148
bottle,0.0007686395080707148
meanwhile,0.0007686395080707148
squad,0.0007686395080707148
raided,0.0007686395080707148
neighborhood,0.0007686395080707148
throwing,0.0007686395080707148
victims,0.0007686395080707148
crimes,0.0007686395080707148
haha,0.0007686395080707148
jewishprivilege,0.0007686395080707148
organisation,0.0007686395080707148
shmuly,0.0007686395080707148
polish,0.0007686395080707148
consul,0.0007686395080707148
general,0.0007686395080707148
york,0.0007686395080707148
adrian,0.0007686395080707148
kubicki,0.0007686395080707148
guest,0.0007686395080707148
home,0.0007686395080707148
listen,0.0007686395080707148
convicted,0.0007686395080707148
8000,0.0007686395080707148
