Words,Percent Increase
kids,0.10828370330265295
new,0.10828370330265295
emily,0.10828370330265295
must,0.10828370330265295
smart,0.10828370330265295
young,0.10828370330265295
near,0.10828370330265295
native,0.10828370330265295
early,0.10828370330265295
hurt,0.10828370330265295
feelings,0.10828370330265295
women,0.10828370330265295
gays,0.10828370330265295
fascism,0.10828370330265295
wasnt,0.10828370330265295
next,0.10828370330265295
asked,0.10828370330265295
guess,0.10828370330265295
israel’s,0.10828370330265295
spirit,0.10828370330265295
difference,0.10828370330265295
though,0.10828370330265295
everyone,0.10828370330265295
indeed,0.10828370330265295
values,0.10828370330265295
home,0.10828370330265295
quote,0.10828370330265295
i’ve,0.10828370330265295
ugly,0.10828370330265295
twitter,0.10828370330265295
doesnt,0.10828370330265295
stuff,0.10828370330265295
mentioned,0.10828370330265295
bottom,0.10828370330265295
continue,0.10828370330265295
go,0.10828370330265295
convicted,0.10828370330265295
antisemite,0.10828370330265295
8000,0.10828370330265295
euro,0.10828370330265295
fine,0.10828370330265295
month,0.10828370330265295
prison,0.10828370330265295
function,0.10828370330265295
shit,0.10828370330265295
der,0.10828370330265295
exact,0.10828370330265295
house,0.10828370330265295
didnt,0.10828370330265295
fault,0.10828370330265295
fake,0.10828370330265295
africans,0.10828370330265295
whos,0.10828370330265295
man,0.10828370330265295
million,0.10828370330265295
don’t,0.10828370330265295
quite,0.10828370330265295
take,0.10828370330265295
theres,0.10828370330265295
heroic,0.10828370330265295
support,0.10828370330265295
certain,0.10828370330265295
point,0.10828370330265295
come,0.10828370330265295
record,0.10828370330265295
supporting,0.10828370330265295
1942,0.10828370330265295
laughing,0.10828370330265295
become,0.10828370330265295
used,0.10828370330265295
podcast,0.10828370330265295
interview,0.10828370330265295
marc,0.10828370330265295
maron,0.10828370330265295
seth,0.10828370330265295
rogen,0.10828370330265295
fed,0.10828370330265295
amount,0.10828370330265295
israel”,0.10828370330265295
questioned,0.10828370330265295
sethrogen,0.10828370330265295
antizionism,0.10828370330265295
german,0.10828370330265295
talk,0.10828370330265295
it’s,0.10828370330265295
bullying,0.10828370330265295
huge,0.10828370330265295
university,0.10828370330265295
charlottesville,0.10828370330265295
serving,0.10828370330265295
interests,0.10828370330265295
possible,0.10828370330265295
w,0.10828370330265295
uk,0.10828370330265295
theyre,0.10828370330265295
make,0.10828370330265295
proud,0.10828370330265295
coward,0.10828370330265295
christian,0.10828370330265295
call,0.10828370330265295
wrong,0.10828370330265295
that’s,0.10828370330265295
try,0.10828370330265295
thought,0.10828370330265295
we’re,0.10828370330265295
verwoerdian,0.05414185165132648
underdog,0.05414185165132648
english,0.05414185165132648
jimmy,0.05414185165132648
🤣,0.05414185165132648
taste,0.05414185165132648
leave,0.05414185165132648
able,0.05414185165132648
promising,0.05414185165132648
encouraged,0.05414185165132648
speakers,0.05414185165132648
afrikaans,0.05414185165132648
facilitate,0.05414185165132648
tell,0.05414185165132648
🤔,0.05414185165132648
motive,0.05414185165132648
key,0.05414185165132648
beneficiaries,0.05414185165132648
change,0.05414185165132648
secure,0.05414185165132648
master,0.05414185165132648
warmonger,0.05414185165132648
baby,0.05414185165132648
victory,0.05414185165132648
killer,0.05414185165132648
exploitation,0.05414185165132648
overmatched,0.05414185165132648
ills,0.05414185165132648
leaders,0.05414185165132648
fortunate,0.05414185165132648
card,0.05414185165132648
resources,0.05414185165132648
mandatory,0.05414185165132648
auswiseid⁉️,0.05414185165132648
step,0.05414185165132648
gt,0.05414185165132648
lets,0.05414185165132648
getto⁉️⁉️⁉️,0.05414185165132648
forgiveness,0.05414185165132648
con,0.05414185165132648
blaming,0.05414185165132648
less,0.05414185165132648
immigrants,0.05414185165132648
🤷🏽‍♀️,0.05414185165132648
refugees,0.05414185165132648
single,0.05414185165132648
mothers,0.05414185165132648
unemployed,0.05414185165132648
witches,0.05414185165132648
todays,0.05414185165132648
lifesaver,0.05414185165132648
duty,0.05414185165132648
best,0.05414185165132648
hold,0.05414185165132648
drowning,0.05414185165132648
shift,0.05414185165132648
native´s,0.05414185165132648
wez,0.05414185165132648
via,0.05414185165132648
shame,0.05414185165132648
rushmore,0.05414185165132648
realdonaldtrump,0.05414185165132648
hollywood,0.05414185165132648
yitzhak,0.05414185165132648
let’s,0.05414185165132648
depicted,0.05414185165132648
start,0.05414185165132648
wyte,0.05414185165132648
ppl,0.05414185165132648
sheittttttt,0.05414185165132648
shed,0.05414185165132648
tears,0.05414185165132648
hypocrisy,0.05414185165132648
doubtful,0.05414185165132648
condemned,0.05414185165132648
vigorously,0.05414185165132648
condemn,0.05414185165132648
give,0.05414185165132648
phone,0.05414185165132648
gonna,0.05414185165132648
post,0.05414185165132648
picked,0.05414185165132648
fight,0.05414185165132648
old,0.05414185165132648
ornery,0.05414185165132648
winning,0.05414185165132648
mount,0.05414185165132648
horse,0.05414185165132648
installing,0.05414185165132648
profile,0.05414185165132648
puppet,0.05414185165132648
oppressive,0.05414185165132648
dictator,0.05414185165132648
tyrans,0.05414185165132648
intimidation,0.05414185165132648
coercion,0.05414185165132648
cant,0.05414185165132648
respond,0.05414185165132648
reply,0.05414185165132648
directly,0.05414185165132648
intention,0.05414185165132648
imply,0.05414185165132648
clear,0.05414185165132648
pale,0.05414185165132648
blunt,0.05414185165132648
responses,0.05414185165132648
earlier,0.05414185165132648
seen,0.05414185165132648
race,0.05414185165132648
william,0.05414185165132648
cooper,0.05414185165132648
predicted,0.05414185165132648
911,0.05414185165132648
happened,0.05414185165132648
book,0.05414185165132648
behold,0.05414185165132648
exemption,0.05414185165132648
evil,0.05414185165132648
blog,0.05414185165132648
ji,0.05414185165132648
yet,0.05414185165132648
heres,0.05414185165132648
