Words,Percent Appearance
feel,0.07486430844095078
tweet,0.07486430844095078
supporting,0.07486430844095078
create,0.05614823133071308
big,0.05614823133071308
totally,0.05614823133071308
controlled,0.05614823133071308
public,0.05614823133071308
young,0.05614823133071308
wall,0.05614823133071308
chinese,0.05614823133071308
ok,0.05614823133071308
early,0.05614823133071308
european,0.05614823133071308
left,0.05614823133071308
upon,0.05614823133071308
hope,0.05614823133071308
shes,0.05614823133071308
street,0.05614823133071308
african,0.05614823133071308
told,0.05614823133071308
we’re,0.05614823133071308
red,0.05614823133071308
military,0.05614823133071308
understand,0.05614823133071308
crimes,0.05614823133071308
blacks,0.05614823133071308
antisemitic,0.05614823133071308
hide,0.05614823133071308
actually,0.05614823133071308
bolsheviks,0.05614823133071308
hell,0.05614823133071308
everything,0.05614823133071308
