Words,Percent Appearance
seth,0.0006370779358674878
huge,0.0006370779358674878
hope,0.0006370779358674878
controlled,0.0006370779358674878
law,0.0006370779358674878
mentioned,0.0006370779358674878
oil,0.0006370779358674878
hell,0.0006370779358674878
retweet,0.0006370779358674878
narrative,0.0006370779358674878
middle,0.0006370779358674878
show,0.0006370779358674878
ur,0.0006370779358674878
put,0.0006370779358674878
job,0.0006370779358674878
trillions,0.0006370779358674878
bolsheviks,0.0006370779358674878
run,0.0006370779358674878
times,0.0006370779358674878
kill,0.0006370779358674878
soon,0.0006370779358674878
spirit,0.0006370779358674878
including,0.0006370779358674878
ppl,0.0006370779358674878
murdered,0.0006370779358674878
whos,0.0006370779358674878
asked,0.0006370779358674878
corbynist,0.0006370779358674878
taxpayers,0.0006370779358674878
poor,0.0006370779358674878
